id,name,position,value,club,club_abr,club_prev,country,season,time,goals,assists,own_goal,penalty,penalty_won,penalty_given,penalty_lost,penalty_defended,yellow_card,red_card,points
72,Robert Mandrysz, Pomocnik,"1,70",Chrobry Glogow,,Bytovia Bytow,Polska,2017/18 - wiosna,692,1,0,0,0,0,0,0,0,1,0,24
1051,Maciej Mas, Napastnik,"0,80",GKS Belchatow,,UKS SMS Lodz,Polska,2019/20 - wiosna,0,0,0,0,0,0,0,0,0,0,0,0
1051,Maciej Mas, Napastnik,"0,80",GKS Belchatow,,UKS SMS Lodz,Polska,2019/20 - jesien,667,0,0,0,0,1,0,1,0,3,0,34
987,Konrad Matuszewski, Obronca,"1,20",Odra Opole,,Wigry Suwalki,Polska,2019/20 - wiosna,642,0,1,0,0,0,0,0,0,1,0,17
987,Konrad Matuszewski, Obronca,"1,20",Odra Opole,,Wigry Suwalki,Polska,2019/20 - jesien,1530,0,1,0,0,1,0,0,0,3,0,47
860,Tomasz Matuszewski, Pomocnik,"0,70",Bruk-Bet Termalica Nieciecza,,Ekoball Sanok,Polska,2019/20 - wiosna,0,0,0,0,0,0,0,0,0,0,0,0
860,Tomasz Matuszewski, Pomocnik,"0,70",Bruk-Bet Termalica Nieciecza,,Ekoball Sanok,Polska,2019/20 - jesien,0,0,0,0,0,0,0,0,0,0,0,0
860,Tomasz Matuszewski, Pomocnik,"0,70",Bruk-Bet Termalica Nieciecza,,Ekoball Sanok,Polska,2018/19 - wiosna,0,0,0,0,0,0,0,0,0,0,0,0
928,Kamil Mazek, Pomocnik,"1,70",Arka Gdynia,,Zaglebie Lubin,Polska,2019/20 - wiosna,0,0,0,0,0,0,0,0,0,0,0,0
928,Kamil Mazek, Pomocnik,"1,70",Arka Gdynia,,Zaglebie Lubin,Polska,2019/20 - jesien,0,0,0,0,0,0,0,0,0,0,0,0
928,Kamil Mazek, Pomocnik,"1,70",Arka Gdynia,,Zaglebie Lubin,Polska,2018/19 - wiosna,158,0,0,0,0,0,0,0,0,0,0,8
1018,Patryk Malecki, Pomocnik,"1,90",Zaglebie Sosnowiec,,FC Spartak Trnava,Polska,2019/20 - wiosna,913,1,1,0,0,1,0,0,0,2,0,34
1018,Patryk Malecki, Pomocnik,"1,90",Zaglebie Sosnowiec,,FC Spartak Trnava,Polska,2019/20 - jesien,1564,3,4,0,0,0,0,0,0,3,0,84
602,Maciej Malkowski, Pomocnik,"2,20",Sandecja Nowy Sacz,,GKS Belchatow,Polska,2019/20 - wiosna,421,2,1,0,2,0,0,0,0,1,0,28
602,Maciej Malkowski, Pomocnik,"2,20",Sandecja Nowy Sacz,,GKS Belchatow,Polska,2019/20 - jesien,1246,3,4,0,1,0,0,0,0,4,1,68
