id,name,position,club,value,points,status
1194,Aleksander Paluszek,2,2,0.5,0,active
1561,Szymon Pankiewicz,2,3,0.5,0,active
1514,Ioannis Papanikolaou,3,10,1.7,0,active
311,Mariusz Pawelec,2,11,1.5,0,active
1369,Aleksander Pawlak,3,15,0.5,0,active
181,Bartlomiej Pawlowski,3,11,2.0,0,active
819,Damian Pawlowski,3,12,1.0,0,active
653,Dariusz Pawlowski,2,2,0.9,0,active
321,Maciej Palaszewski,3,11,1.5,0,active
1362,Tomas Pekhart,4,4,4.5,0,active
10,Kamil Pestka,2,1,1.7,0,active
1295,Adrian Petk,3,5,0.5,0,active
1259,Tomas Petrasek,2,10,2.4,0,uncertain
100,Michal Peskovic,1,8,1.7,0,active
942,Fabian Piasecki,4,11,1.7,0,active
322,Robert Pich,3,11,2.5,0,active
361,Rafal Pietrzak,2,5,2.2,0,active
1184,Mateusz Pienczak,2,1,0.5,0,active
806,Daniel Pik,3,1,0.8,0,active
1489,Branislav Pindroch,1,10,1.8,0,active
625,Filip Piszczek,4,1,1.6,0,active
1468,Dorian Pitula,2,1,0.5,0,active
1126,Kamil Piatkowski,2,10,2.2,0,active
790,Frantisek Plach,1,7,2.0,0,active
1043,Patryk Plewka,3,14,1.5,0,active
1076,Tomas Podstawski,3,9,1.8,0,active
383,Martin Polacek,1,8,1.7,0,active
1091,Marko Poletanovic,3,10,1.5,0,active
769,Konrad Poprawa,2,11,0.5,0,active
1088,Lukasz Poreba,3,16,1.8,0,active
713,Martin Pospisil,3,3,2.3,0,active
1136,Mateusz Praszelik,3,11,2.2,0,active
1287,Tomas Prikryl,3,3,1.8,0,active
1434,Damian Primel,1,12,1.2,0,active
1348,Roman Prochazka,3,2,1.9,0,active
1446,Andreja Prokic,3,12,1.6,0,active
556,Tymoteusz Puchacz,2,6,2.2,0,active
1272,Israel Puerto,2,11,1.9,0,active
1351,Jakov Puljic,4,3,2.7,0,active
133,Matus Putnocky,1,11,2.0,0,active
1232,Piotr Pyrdol,3,15,1.0,0,active
1480,Arkadiusz Pyrka,3,7,1.0,0,active
1245,Michal Rakowiecki,3,7,0.5,0,active
1233,Dani Ramirez,3,6,3.2,0,active
705,Damian Rasak,3,15,1.7,0,active
1234,Adam Ratajczyk,3,16,1.5,0,active
1113,Luis Rocha,2,4,1.9,0,active
1545,Matej Rodin,2,1,1.9,0,active
1331,Thiago Rodrigues de Souza,3,1,1.7,0,active
1559,Julio Rodriguez,2,15,1.6,0,active
1548,Mario Rodriguez,3,13,1.8,0,active
1432,Marko Roginic,4,8,1.6,0,active
783,Thomas Rogne,2,6,2.1,0,active
1593,Kacper Rogozinski,4,15,0.5,0,active
86,Taras Romanczuk,3,3,1.8,0,active
1196,Michal Rostkowski,3,2,1.0,0,active
1506,Milan Rundic,2,8,1.6,0,active
65,Ivan Runje,2,3,2.0,0,active
121,Mariusz Rybicki,3,13,1.4,0,active
989,Adam Ryczkowski,4,2,1.4,0,active
107,Bartosz Rymaniak,2,7,1.8,0,active
202,Jakub Rzezniczak,2,15,1.6,0,active
1425,Michal Rzuchowski,3,8,1.8,0,active
508,Cornel Rapa,2,1,2.0,0,active
1555,Damir Sadikovic,3,1,1.8,0,active
362,Maciej Sadlok,2,14,2.0,0,active
1449,Kacper Sadlocha,4,12,1.0,0,active
1367,Kenny Saief,3,5,1.8,0,active
1574,Bartosz Salamon,2,6,2.1,0,active
1092,Piotr Samiec-Talar,4,11,1.0,0,inactive
1084,Matheus Santos,3,1,1.0,0,active
245,Igor Sapala,3,10,1.8,0,active
1495,Stefan Savic,3,14,1.9,0,active
773,Mathieu Scalet,3,11,1.2,0,active
1268,Petr Schwarz,3,10,2.3,0,active
1441,Lukasz Seweryn,2,12,1.0,0,active
576,Cillian Sheridan,4,15,1.6,0,active
445,Bartlomiej Sielewski,2,15,1.4,0,active
1426,Konrad Sieracki,3,8,1.0,0,active
1427,Lukasz Sierpina,3,8,1.8,0,active
1299,Jean Carlos Silva,3,14,1.9,0,active
720,Michal Siplak,2,1,1.8,0,active
1284,Rok Sirk,4,16,1.5,0,active
1525,Maksymilian Sitek,3,8,1.4,0,active
1219,Kacper Skibicki,3,4,1.0,0,active
1442,Adrian Skrzyniak,2,12,0.5,0,active
1213,Michal Skoras,3,6,1.9,0,active
574,Bartosz Slisz,3,4,2.1,0,active
1591,Karol Smajdor,2,6,0.5,0,active
1251,Kacper Smolinski,3,9,1.5,0,active
1463,Dominik Smykowski,3,13,1.2,0,active
1472,Alex Sobczyk,4,2,1.9,0,active
1096,Hubert Sobol,4,6,0.5,0,active
1492,Waldemar Sobota,3,11,2.3,0,active
1012,Patryk Sokolowski,3,7,1.7,0,active
1049,Mateusz Sopocko,3,5,0.9,0,active
1199,Mateusz Spychala,2,13,1.5,0,active
1081,Karol Stanek,4,7,0.5,0,active
399,Filip Starzynski,3,16,2.4,0,active
1447,Szymon Stasik,3,12,1.5,0,active
1359,Aleksander Stawiarz,4,3,0.5,0,active
1016,David Stec,2,9,2.0,0,active
1292,Dominik Steczyk,4,7,1.6,0,active
1247,Dante Stipica,1,9,2.3,0,active
168,Pawel Stolarski,2,9,1.8,0,active
776,Sebastian Strozik,4,1,1.3,0,active
1435,Rafal Straczek,1,12,1.7,0,active
1428,Michal Studnicki,3,8,0.5,0,active
1323,Mateusz Supryn,3,1,0.5,0,active
1542,Martin Sus,2,12,1.6,0,active
1398,Jakub Sypek,3,16,0.5,0,active
816,Milosz Szczepanski,3,10,1.7,0,active
1023,Dariusz Szczerbal,1,11,0.6,0,active
1508,Adrian Szczutowski,4,15,0.5,0,active
1203,Daniel Szelagowski,3,10,1.5,0,active
224,Jakub Szmatula,1,7,1.8,0,active
1464,Kajetan Szmyt,3,13,0.9,0,active
1152,Dawid Szot,2,14,1.5,0,active
830,Serafin Szota,2,14,0.5,0,active
1383,Marcin Szpakowski,3,11,0.5,0,active
1592,Lukasz Szramowski,3,6,0.5,0,active
1493,Michal Szromnik,1,11,1.5,0,active
1502,Wojciech Szumilas,2,15,1.5,0,active
431,Mateusz Szwoch,3,15,2.0,0,active
1001,Karol Szymanski,1,7,1.3,0,active
1214,Filip Szymczak,4,6,0.7,0,active
88,Dawid Szymonowicz,2,1,1.8,0,active
1128,Patryk Szysz,4,16,1.7,0,active
1567,Wiktor Szywacz,3,14,0.5,0,active
1532,Jan Sykora,3,6,2.0,0,active
1368,Mark Tamas,2,11,1.7,0,active
1000,Pedro Tiba,3,6,2.6,0,active
1340,David Tijanic,3,10,2.5,0,active
1355,Bogdan Tiru,2,3,1.8,0,active
1335,Kristers Tobers,2,5,1.6,0,active
1503,Adrian Tokarski,1,15,0.5,0,active
432,Grzegorz Tomasiewicz,3,12,1.7,0,active
69,Piotr Tomasik,2,15,1.8,0,active
1326,Krzysztof Toporkiewicz,4,3,0.5,0,active
154,Lukasz Tralka,3,13,1.7,0,active
1490,Kacper Trelowski,1,10,0.5,0,active
1249,Kostas Triantafyllopoulos,2,9,2.3,0,active
1341,Fran Tudor,3,10,2.0,0,active
1353,Alon Turgeman,4,14,2.1,0,out of club
1388,Hubert Turski,4,9,0.9,0,active
755,Patryk Tuszynski,4,15,1.8,0,active
1557,Kris Twardek,3,3,1.6,0,active
1429,Desley Ubbink,3,8,1.5,0,active
958,Zarko Udovicic,3,5,1.6,0,active
299,Maciej Urbanczyk,3,12,1.5,0,active
1327,Kacper Urbanski,3,5,0.5,0,active
374,Alan Uryga,2,15,1.9,0,active
742,Joel Valencia,3,4,2.2,0,active
1187,Pelle van Amersfoort,3,1,2.3,0,active
1207,Mickey van der Hart,1,6,1.8,0,active
31,Tomas Vestenicky,3,1,1.7,0,active
788,Marko Vesovic,2,4,2.2,0,active
1374,Kristopher Vida,3,7,1.8,0,active
1047,Egy Maulana Vikri,3,5,0.8,0,active
1363,Bartlomiej Wdowik,2,3,1.6,0,active
491,Mateusz Wieteska,2,4,1.9,0,active
5,Adam Wilk,1,1,0.8,0,active
142,Maciej Wilusz,2,11,1.9,0,active
1583,Mateusz Winciersz,3,7,1.0,0,active
986,Michal Wisniewski,3,1,0.9,0,active
992,Przemyslaw Wisniewski,2,2,2.1,0,active
1465,Mateusz Wojciechowski,3,13,0.5,0,active
706,Kamil Wojtkowski,3,3,1.7,0,active
1540,Norbert Wojtuszek,3,2,0.5,0,active
184,Rafal Wolski,3,15,1.6,0,active
691,Jakub Wrabel,1,15,1.3,0,active
1319,Pawel Wszolek,3,4,3.2,0,active
1510,Mateusz Wyjadlowski,3,3,0.5,0,active
14,Jakub Wojcicki,2,16,1.7,0,active
1569,Oskar Wojcik,2,1,0.5,0,active
1252,Marcel Wedrychowski,3,9,0.6,0,active
